Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
Sudan,< 1.0, 5.4, 2.8,< 1.0,< 1.0,90.7,< 1.0, 1.0
Suriname,< 1.0,52.3, 5.6,18.8,< 1.0,14.3, 1.9, 6.2
Swaziland,< 1.0,88.7, 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 9.4
Sweden,< 1.0,63.0,< 1.0,< 1.0,< 1.0, 6.5,< 1.0,29.0
Switzerland,< 1.0,70.0,< 1.0,< 1.0,< 1.0, 5.6,< 1.0,22.8
Syria,< 1.0, 5.2,< 1.0,< 1.0,< 1.0,92.8,< 1.0, 2.0
Taiwan,21.2, 5.8,43.8,< 1.0,< 1.0,< 1.0,15.5,13.7
Tajikistan,< 1.0, 1.8,< 1.0,< 1.0,< 1.0,96.4,< 1.0, 1.5
Tanzania,< 1.0,63.1, 1.1,< 1.0,< 1.0,34.1,< 1.0, 1.6
Thailand,92.6,< 1.0,< 1.0,< 1.0,< 1.0, 6.0,< 1.0,< 1.0
Timor-Leste,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Togo,< 1.0,42.3,36.9,< 1.0,< 1.0,14.0,< 1.0, 6.2
Tokelau,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Tonga,< 1.0,98.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Trinidad and Tobago,< 1.0,66.3, 2.0,22.3,< 1.0, 5.8, 1.4, 1.8
Tunisia,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Turkey,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.0,< 1.0, 1.2
Turkmenistan,< 1.0, 6.4,< 1.0,< 1.0,< 1.0,93.0,< 1.0,< 1.0
Turks and Caicos Islands,< 1.0,92.1, 2.7,< 1.0,< 1.0,< 1.0,< 1.0, 4.6
Tuvalu,< 1.0,96.7,< 1.0,< 1.0,< 1.0,< 1.0, 1.9, 1.3
Uganda,< 1.0,86.1,< 1.0,< 1.0,< 1.0,12.1,< 1.0,< 1.0
Ukraine,< 1.0,85.6,< 1.0,< 1.0,< 1.0, 1.7,< 1.0,12.5
United Arab Emirates, 2.4,12.9,< 1.0, 7.7,< 1.0,75.0,< 1.0, 1.1
United Kingdom,< 1.0,59.1,< 1.0, 1.6,< 1.0, 6.1,< 1.0,31.2
United States, 1.2,75.5,< 1.0,< 1.0, 1.7, 1.1,< 1.0,18.6
U.S. Virgin Islands,< 1.0,94.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.7
Uruguay,< 1.0,57.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,41.5
Uzbekistan,< 1.0, 2.0,< 1.0,< 1.0,< 1.0,97.1,< 1.0,< 1.0
Vanuatu,< 1.0,93.5, 4.0,< 1.0,< 1.0,< 1.0, 1.4, 1.2
Venezuela,< 1.0,89.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 9.7
Vietnam,16.2, 8.4,45.0,< 1.0,< 1.0,< 1.0,< 1.0,29.9
Wallis and Futuna,< 1.0,97.4, 1.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Western Sahara,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Yemen,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Zambia,< 1.0,97.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Zimbabwe,< 1.0,87.1, 4.0,< 1.0,< 1.0,< 1.0,< 1.0, 7.6
South Sudan,< 1.0,60.5,32.9,< 1.0,< 1.0, 6.2,< 1.0,< 1.0
Curacao,< 1.0,93.9, 1.2,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
Sint Maarten,< 1.0,93.9, 1.2,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
Caribbean Netherlands,< 1.0,93.9, 1.2,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
